DATE,MKT,CRD,TERM
2002-08-31,0.013564,-0.003593,0.016304
2002-09-30,-0.003132,-0.002012,-0.005243
2002-10-31,0.013479,0.022891,0.008999
2002-11-30,0.018452,0.009719,0.013378
2002-12-31,0.010377,0.008403,0.005074
2003-01-31,0.013128,0.007049,0.013034
2003-02-28,0.005253,0.004899,0.001152
2003-03-31,0.015838,0.014875,0.014413
2003-04-30,0.022617,0.011169,0.025774
2003-05-31,0.006226,0.011735,0.004221
2003-06-30,-0.021882,-0.000879,-0.032885
2003-07-31,-0.001419,3.4e-05,-0.002499
2003-08-31,0.021135,0.000664,0.019847
2003-09-30,0.000663,0.008387,0.002905
2003-10-31,0.007565,0.008483,0.009686
2003-11-30,0.006722,0.005882,0.003988
2003-12-31,0.009588,0.008374,0.010108
2004-01-31,0.008921,0.002419,0.006274
2004-02-29,0.007034,0.004141,0.00689
2004-03-31,-0.017759,-0.001233,-0.018711
2004-04-30,-0.007024,-0.004397,-0.011754
2004-05-31,0.003386,0.003934,0.004205
2004-06-30,0.010038,0.001987,0.008499
2004-07-31,0.017953,0.006027,0.019306
2004-08-31,0.008733,0.004151,0.015742
2004-09-30,0.006306,0.002881,0.007007
2004-10-31,-0.002628,0.000958,0.000535
2004-11-30,0.006455,0.002868,0.007702
2004-12-31,0.007028,0.00845,0.013434
2005-01-31,0.000609,0.004209,0.003896
2005-02-28,-0.009247,-0.007426,-0.013744
2005-03-31,0.008624,-0.001372,0.006361
2005-04-30,0.00964,0.002997,0.011498
2005-05-31,0.007622,0.005143,0.007321
2005-06-30,-0.00258,0.000124,-0.003896
2005-07-31,0.004772,0.003807,0.000786
2005-08-31,-0.006084,-0.001387,-0.012679
2005-09-30,-0.008523,-0.007189,-0.015324
2005-10-31,0.003887,-0.00105,-0.001197
2005-11-30,0.00711,-0.000495,0.005869
2005-12-31,0.002159,-0.001812,-0.002407
2006-01-31,0.00143,0.0038,-0.000254
2006-02-28,-0.005223,-0.005203,-0.014666
