,coef,t_stat,n_months
const,0.00337,1.582126,218
spread_resid_IG,0.065904,2.613899,218
spread_resid_HY,-0.016158,-0.154784,218
DDCamp,-0.000201,-1.527504,218
log_size,-1.1e-05,-0.065158,218
duration,-0.000308,-1.763033,218
rat_AA,2.1e-05,0.109271,218
rat_AAA,2.8e-05,0.080279,217
rat_B,0.003385,2.464734,218
rat_BB,0.00206,2.304358,218
rat_BBB,0.000704,2.310703,218
rat_CC,0.027368,3.52972,210
rat_CCC,0.004733,1.545262,218
tmt_3-7y,0.002454,4.141475,218
tmt_7-15y,0.004538,4.588624,218
tmt_>15y,0.007296,4.538324,218
