DATE,MKT,CRD,TERM
2002-08-31,0.011674,-0.005907,0.012531
2002-09-30,-0.005115,-0.00577,-0.009475
2002-10-31,0.015886,0.029501,0.014132
2002-11-30,0.017565,0.007651,0.011884
2002-12-31,0.009627,0.00952,0.003678
2003-01-31,0.012763,0.005838,0.012967
2003-02-28,0.00444,0.004325,-0.000482
2003-03-31,0.016488,0.016612,0.016832
2003-04-30,0.022235,0.009625,0.0263
2003-05-31,0.003395,0.008385,-0.001525
2003-06-30,-0.023599,-0.003543,-0.038298
2003-07-31,0.002378,0.003712,0.005621
2003-08-31,0.022479,0.00196,0.023721
2003-09-30,-0.002151,0.006973,-0.003023
2003-10-31,0.008216,0.009194,0.011873
2003-11-30,0.006376,0.006917,0.003503
2003-12-31,0.009348,0.008052,0.009996
2004-01-31,0.008653,0.002506,0.006072
2004-02-29,0.006561,0.004459,0.006413
2004-03-31,-0.020301,-0.004058,-0.025346
2004-04-30,-0.004621,-0.003087,-0.007202
2004-05-31,0.004704,0.004058,0.007283
2004-06-30,0.010642,0.004503,0.010399
2004-07-31,0.017946,0.007748,0.020514
2004-08-31,0.006956,0.004415,0.01263
2004-09-30,0.005123,0.002309,0.005553
2004-10-31,-0.003775,0.000558,-0.001594
2004-11-30,0.007586,0.00468,0.010559
2004-12-31,0.006173,0.00826,0.01282
2005-01-31,-0.001102,0.00204,0.00038
2005-02-28,-0.010016,-0.00961,-0.016644
2005-03-31,0.010816,-0.000219,0.011913
2005-04-30,0.008656,0.003785,0.009856
2005-05-31,0.007052,0.004908,0.006639
2005-06-30,-0.004107,-0.000803,-0.007769
2005-07-31,0.005809,0.00539,0.003067
2005-08-31,-0.007453,-0.004168,-0.016661
2005-09-30,-0.007077,-0.004466,-0.012841
2005-10-31,0.00589,0.000498,0.003192
2005-11-30,0.007213,-0.000401,0.006642
2005-12-31,0.001141,-0.00295,-0.005097
2006-01-31,0.001635,0.003878,0.000509
2006-02-28,-0.006192,-0.005909,-0.019124
2006-03-31,-0.002428,-0.004949,-0.014554
2006-04-30,0.002034,0.002264,-0.000981
2006-05-31,-0.001362,-0.001809,-0.004414
2006-06-30,0.013689,0.008035,0.013425
2006-07-31,0.015036,0.006902,0.014724
2006-08-31,0.010452,0.005262,0.008933
2006-09-30,0.005581,-0.001974,0.001696
2006-10-31,0.010684,0.006221,0.009916
2006-11-30,-0.001602,-0.004039,-0.009327
2006-12-31,9.2e-05,-0.00109,-0.007383
2007-01-31,0.012486,0.005641,0.010773
2007-02-28,-0.000843,-0.001036,-0.010452
2007-03-31,0.004625,-0.002972,-0.002375
2007-04-30,-0.004158,-0.00352,-0.013089
2007-05-31,-0.0035,-0.007039,-0.014565
2007-06-30,0.004167,-0.004285,-0.001884
2007-07-31,0.007528,0.002657,0.007374
2007-08-31,0.010303,0.003965,0.001205
2007-09-30,0.009949,0.001052,0.007173
2007-10-31,-0.000172,-0.011393,-0.003966
2007-11-30,0.000515,-0.005105,-0.009651
2007-12-31,0.015473,0.007859,0.004711
2008-01-31,-0.001637,-0.007214,-0.014503
2008-02-29,-0.007097,-0.011555,-0.002151
2008-03-31,0.007754,0.023669,0.006634
2008-04-30,-0.003875,-0.009268,-0.015137
2008-05-31,-0.010585,-0.013175,-0.012404
2008-06-30,-0.005541,-0.01225,-0.007237
2008-07-31,0.0048,0.009292,0.007182
2008-08-31,-0.056011,-0.068724,-0.027306
2008-09-30,-0.033862,0.022559,-0.057454
2008-10-31,0.02974,0.019413,0.038759
2008-11-30,0.065862,0.064475,0.079777
