,coef,t_stat,n_months
const,0.003673,1.652653,217
spread_resid_IG,0.066879,2.315103,217
spread_resid_HY,0.001709,0.015221,217
DDCamp,-0.000206,-1.436375,217
log_size,-2e-06,-0.008859,217
duration,-0.000514,-2.775078,217
rat_AA,-0.00011,-0.542624,217
rat_AAA,8e-05,0.258578,217
rat_B,0.003063,2.049077,217
rat_BB,0.002033,2.08473,217
rat_BBB,0.000622,1.916426,217
rat_CC,0.02614,3.285726,196
rat_CCC,0.004128,1.287665,217
tmt_3-7y,0.002968,4.786334,217
tmt_7-15y,0.005518,5.180964,217
tmt_>15y,0.009433,5.399366,217
